2013314;2013-11-17;711;
2013313;2013-11-16;898;
2013312;2013-11-15;784;
2013311;2013-11-14;358;
2013310;2013-11-13;271;
2013309;2013-11-12;982;
2013308;2013-11-11;378;
2013307;2013-11-10;694;
2013306;2013-11-09;291;
2013305;2013-11-08;860;
2013304;2013-11-07;212;
2013303;2013-11-06;289;
2013302;2013-11-05;882;
2013301;2013-11-04;776;
2013300;2013-11-03;383;
2013299;2013-11-02;207;
2013298;2013-11-01;732;
2013297;2013-10-31;803;
2013296;2013-10-30;943;
2013295;2013-10-29;342;
2013294;2013-10-28;198;
2013293;2013-10-27;956;
2013292;2013-10-26;93;
2013291;2013-10-25;667;
2013290;2013-10-24;323;
2013289;2013-10-23;740;
2013288;2013-10-22;748;
2013287;2013-10-21;200;
2013286;2013-10-20;192;
2013285;2013-10-19;165;
2013284;2013-10-18;169;
2013283;2013-10-17;547;
2013282;2013-10-16;846;
2013281;2013-10-15;5;
2013280;2013-10-14;194;
2013279;2013-10-13;409;
2013278;2013-10-12;134;
2013277;2013-10-11;393;
2013276;2013-10-10;954;
2013275;2013-10-09;250;
2013274;2013-10-08;600;
2013273;2013-10-07;568;
2013272;2013-10-06;309;
2013271;2013-10-05;385;
2013270;2013-10-04;295;
2013269;2013-10-03;166;
2013268;2013-10-02;414;
2013267;2013-10-01;51;
2013266;2013-09-30;552;
2013265;2013-09-29;373;
2013264;2013-09-28;748;
2013263;2013-09-27;681;
2013262;2013-09-26;643;
2013261;2013-09-25;227;
2013260;2013-09-24;626;
2013259;2013-09-23;413;
2013258;2013-09-22;55;
2013257;2013-09-21;398;
2013256;2013-09-20;598;
2013255;2013-09-19;295;
2013254;2013-09-18;956;
2013253;2013-09-17;683;
2013252;2013-09-16;573;
2013251;2013-09-15;753;
2013250;2013-09-14;904;
2013249;2013-09-13;307;
2013248;2013-09-12;115;
2013247;2013-09-11;559;
2013246;2013-09-10;906;
2013245;2013-09-09;742;
2013244;2013-09-08;393;
2013243;2013-09-07;361;
2013242;2013-09-06;528;
2013241;2013-09-05;718;
2013240;2013-09-04;569;
2013239;2013-09-03;91;
2013238;2013-09-02;117;
2013237;2013-09-01;874;
2013236;2013-08-31;714;
2013235;2013-08-30;625;
2013234;2013-08-29;846;
2013233;2013-08-28;367;
2013232;2013-08-27;441;
2013231;2013-08-26;468;
2013230;2013-08-25;962;
2013229;2013-08-24;3;
2013228;2013-08-23;410;
2013227;2013-08-22;427;
2013226;2013-08-21;550;
2013225;2013-08-20;884;
2013224;2013-08-19;579;
2013223;2013-08-18;811;
2013222;2013-08-17;260;
2013221;2013-08-16;999;
2013220;2013-08-15;630;
2013219;2013-08-14;232;
2013218;2013-08-13;112;
2013217;2013-08-12;965;
2013216;2013-08-11;383;
2013215;2013-08-10;157;
2013214;2013-08-09;826;
2013213;2013-08-08;660;
2013212;2013-08-07;82;
2013211;2013-08-06;749;
2013210;2013-08-05;139;
2013209;2013-08-04;928;
2013208;2013-08-03;44;
2013207;2013-08-02;473;
2013206;2013-08-01;493;
2013205;2013-07-31;798;
2013204;2013-07-30;506;
2013203;2013-07-29;300;
2013202;2013-07-28;603;
2013201;2013-07-27;498;
2013200;2013-07-26;573;
2013199;2013-07-25;814;
2013198;2013-07-24;566;
2013197;2013-07-23;115;
2013196;2013-07-22;100;
2013195;2013-07-21;398;
2013194;2013-07-20;806;
2013193;2013-07-19;493;
2013192;2013-07-18;170;
2013191;2013-07-17;315;
2013190;2013-07-16;719;
2013189;2013-07-15;26;
2013188;2013-07-14;20;
2013187;2013-07-13;188;
2013186;2013-07-12;170;
2013185;2013-07-11;916;
2013184;2013-07-10;487;
2013183;2013-07-09;693;
2013182;2013-07-08;944;
2013181;2013-07-07;248;
2013180;2013-07-06;642;
2013179;2013-07-05;368;
2013178;2013-07-04;927;
2013177;2013-07-03;169;
2013176;2013-07-02;307;
2013175;2013-07-01;185;
2013174;2013-06-30;714;
2013173;2013-06-29;506;
2013172;2013-06-28;406;
2013171;2013-06-27;890;
2013170;2013-06-26;128;
2013169;2013-06-25;344;
2013168;2013-06-24;556;
2013167;2013-06-23;242;
2013166;2013-06-22;42;
2013165;2013-06-21;300;
2013164;2013-06-20;732;
2013163;2013-06-19;104;
2013162;2013-06-18;292;
2013161;2013-06-17;537;
2013160;2013-06-16;210;
2013159;2013-06-15;98;
2013158;2013-06-14;613;
2013157;2013-06-13;383;
2013156;2013-06-12;775;
2013155;2013-06-11;296;
2013154;2013-06-10;349;
2013153;2013-06-09;288;
2013152;2013-06-08;149;
2013151;2013-06-07;943;
2013150;2013-06-06;736;
2013149;2013-06-05;452;
2013148;2013-06-04;825;
2013147;2013-06-03;843;
2013146;2013-06-02;464;
2013145;2013-06-01;389;
2013144;2013-05-31;890;
2013143;2013-05-30;60;
2013142;2013-05-29;930;
2013141;2013-05-28;782;
2013140;2013-05-27;592;
2013139;2013-05-26;907;
2013138;2013-05-25;579;
2013137;2013-05-24;627;
2013136;2013-05-23;231;
2013135;2013-05-22;850;
2013134;2013-05-21;228;
2013133;2013-05-20;329;
2013132;2013-05-19;155;
2013131;2013-05-18;798;
2013130;2013-05-17;991;
2013129;2013-05-16;20;
2013128;2013-05-15;849;
2013127;2013-05-14;667;
2013126;2013-05-13;410;
2013125;2013-05-12;510;
2013124;2013-05-11;963;
2013123;2013-05-10;832;
2013122;2013-05-09;465;
2013121;2013-05-08;73;
2013120;2013-05-07;569;
2013119;2013-05-06;451;
2013118;2013-05-05;393;
2013117;2013-05-04;808;
2013116;2013-05-03;407;
2013115;2013-05-02;901;
2013114;2013-05-01;171;
2013113;2013-04-30;836;
2013112;2013-04-29;996;
2013111;2013-04-28;466;
2013110;2013-04-27;418;
2013109;2013-04-26;167;
2013108;2013-04-25;343;
2013107;2013-04-24;985;
2013106;2013-04-23;492;
2013105;2013-04-22;484;
2013104;2013-04-21;14;
2013103;2013-04-20;203;
2013102;2013-04-19;536;
2013101;2013-04-18;921;
2013100;2013-04-17;338;
2013099;2013-04-16;450;
2013098;2013-04-15;759;
2013097;2013-04-14;792;
2013096;2013-04-13;39;
2013095;2013-04-12;215;
2013094;2013-04-11;28;
2013093;2013-04-10;737;
2013092;2013-04-09;632;
2013091;2013-04-08;137;
2013090;2013-04-07;955;
2013089;2013-04-06;192;
2013088;2013-04-05;381;
2013087;2013-04-04;34;
2013086;2013-04-03;895;
2013085;2013-04-02;693;
2013084;2013-04-01;721;
2013083;2013-03-31;602;
2013082;2013-03-30;249;
2013081;2013-03-29;857;
2013080;2013-03-28;466;
2013079;2013-03-27;780;
2013078;2013-03-26;32;
2013077;2013-03-25;184;
2013076;2013-03-24;174;
2013075;2013-03-23;617;
2013074;2013-03-22;288;
2013073;2013-03-21;222;
2013072;2013-03-20;831;
2013071;2013-03-19;360;
2013070;2013-03-18;235;
2013069;2013-03-17;115;
2013068;2013-03-16;770;
2013067;2013-03-15;832;
2013066;2013-03-14;41;
2013065;2013-03-13;328;
2013064;2013-03-12;176;
2013063;2013-03-11;641;
2013062;2013-03-10;669;
2013061;2013-03-09;675;
2013060;2013-03-08;549;
2013059;2013-03-07;251;
2013058;2013-03-06;82;
2013057;2013-03-05;243;
2013056;2013-03-04;139;
2013055;2013-03-03;456;
2013054;2013-03-02;497;
2013053;2013-03-01;564;
2013052;2013-02-28;556;
2013051;2013-02-27;676;
2013050;2013-02-26;556;
2013049;2013-02-25;636;
2013048;2013-02-24;290;
2013047;2013-02-23;784;
2013046;2013-02-22;966;
2013045;2013-02-21;39;
2013044;2013-02-20;318;
2013043;2013-02-19;536;
2013042;2013-02-18;496;
2013041;2013-02-17;851;
2013040;2013-02-16;549;
2013039;2013-02-08;639;
2013038;2013-02-07;640;
2013037;2013-02-06;364;
2013036;2013-02-05;658;
2013035;2013-02-04;632;
2013034;2013-02-03;330;
2013033;2013-02-02;277;
2013032;2013-02-01;849;
2013031;2013-01-31;762;
2013030;2013-01-30;732;
2013029;2013-01-29;149;
2013028;2013-01-28;113;
2013027;2013-01-27;308;
2013026;2013-01-26;857;
2013025;2013-01-25;540;
2013024;2013-01-24;268;
2013023;2013-01-23;807;
2013022;2013-01-22;250;
2013021;2013-01-21;918;
2013020;2013-01-20;929;
2013019;2013-01-19;866;
2013018;2013-01-18;347;
2013017;2013-01-17;380;
2013016;2013-01-16;38;
2013015;2013-01-15;228;
2013014;2013-01-14;417;
2013013;2013-01-13;922;
2013012;2013-01-12;688;
2013011;2013-01-11;209;
2013010;2013-01-10;632;
2013009;2013-01-09;921;
2013008;2013-01-08;556;
2013007;2013-01-07;147;
2013006;2013-01-06;457;
2013005;2013-01-05;622;
2013004;2013-01-04;760;
2013003;2013-01-03;166;
2013002;2013-01-02;670;
2013001;2013-01-01;203;
